Recipient Company,Recipient Name,Recipient Address1,Recipient Address2,Recipient Address3,Recipient Country Code,Recipient State,Recipient City,Recipient Postal Code,Recipient Phone,Recipient Phone Dial Code,Recipient Email,Description,Weight Unit,Weight(s),Dimension(s),Customer Reference,No. of Packages,Is Residential Collection?,Customs Value,Customs Currency,Unit Type,No Of Units,Description/Comodity,Is TailGate Delivery?,Is TailGate Collection?,Is Residential Delivery?,Is Stackable?,Shipment Package Type,Transit Insurance Required ?,Transit Insurance Commodity,Transit Insurance Commodity Description,Transit Insurance Value of Goods (AUD),Sub Package Type,Is PO Box Delivery?,TNT Do Not ATL?,Is Dangerous Goods?,DG UN Number,DG Package Type,DG Package Group,DG Technical Name,DG Class Division,Authority To Leave?,Hand Unload,FedEx Signature Type,SkuNumber1,SkuNumber2,SkuNumber3,SkuNumber4,SkuNumber5,SkuNumber6
Equal to 50cm width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x50x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than 50cm width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x51x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 50cm height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x50,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 50cm height  1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,10x10x51,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 18kg dead weight 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Morethan 18kg dead weight 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,18.1,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 90cm length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,90x10x10|90x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 90cm length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,91x10x10|91x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 50cm width 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10|10,10x50x10|10x50x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than 50cm width 2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10|10,10x51x10|10x51x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Equal to 50cm height  2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x50|10x10x50,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than 50cm height  2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x51|10x10x51,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Equal to 18kg dead weight  2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18|18,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Morethan 18kg dead weight  2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,18.1|18.1,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Mimimum 5cm in length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,5x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,4.99x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x5x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than 5cm in width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x4.99x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Mimimum 5cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x5,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x4.99,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Mimimum Dead weight 2KG 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,2,5x5x5,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than Dead weight 2KG 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,1.9,5x5x5,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 80cm in length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,80x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  80cm in length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,81x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 40cm in width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x40x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than  40cm in width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x41x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Maximum 40cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x40,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  40cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x41,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Maximum Dead weight 18KG 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,18,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than Dead weight 18KG 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18.1,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,5x10x10|5x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,4.99x10x10|4.99x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in width 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10|10,10x5x10|10x5x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than 5cm in width 2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10|10,10x4.99x10|10x4.99x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Mimimum 5cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x5|10x10x5,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x4.99|10x10x4.99,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Mimimum Dead weight 2KG 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,2|2,5x5x5|5x5x5,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than Dead weight 2KG 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,1.9|1.9,5x5x5|5x5x5,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 80cm in length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,80x10x10|80x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  80cm in length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,81x10x10|81x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 40cm in width 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10|10,10x40x10|10x40x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than  40cm in width 2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10|10,10x41x10|10x41x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,5522356,,,,,
Maximum 40cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x40|10x10x40,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  40cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x41|10x10x41,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,1122335,,,,,
Maximum Dead weight 18KG 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,18|18,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than Dead weight 18KG 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18.1|18.1,10x10x10|10x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Non Document,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,5x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,4.99x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x5x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than 5cm in width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x4.99x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Mimimum 5cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x5,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x4.99,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Mimimum Dead weight 2KG 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,2,5x5x5,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than Dead weight 2KG 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,1.9,5x5x5,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 80cm in length 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,80x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  80cm in length 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10,81x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 40cm in width 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10,10x40x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than  40cm in width 1 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10,10x41x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Maximum 40cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x40,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  40cm in height 1 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10,10x10x41,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Maximum Dead weight 18KG 1 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,18,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Greater than Dead weight 18KG 1 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,18.1,10x10x10,Reference Stuff,1,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,5x10x10|5x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,4.99x10x10|4.99x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Mimimum 5cm in width 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,10|10,10x5x10|10x5x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than 5cm in width 2 piece,Dori na,40 kk street,,,Australia,Queensland,Brisbane City,4000,8667692117,4,myemail@emails.com,Cosmetics items used for,KG,10|10,10x4.99x10|10x4.99x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,5522356,,,,,
Mimimum 5cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x5|10x10x5,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Less than 5cm in height 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,10x10x4.99|10x10x4.99,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Mimimum Dead weight 2KG 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,2|2,5x5x5|5x5x5,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Less than Dead weight 2KG 2 piece,Yogi,40 kk street,,,Australia,Victoria,Melbourne,3000,9551550548,3,myemail@emails.com,Cosmetics items used for,KG,1.9|1.9,5x5x5|5x5x5,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
Maximum 80cm in length 2 piece,Sathish R,20 test street,,,Australia,New South Wales,Sydney,2000,9551550545,1,myemail@emails.com,Cosmetics items used for,KG,10|10,80x10x10|80x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,1122335,,,,,
Greater than  80cm in length 2 piece,Anto na,40 kk street,,,Australia,Queensland,Brisbane City,4000,9551550547,2,myemail@emails.com,Cosmetics items used for,KG,10|10,81x10x10|81x10x10,Reference Stuff,2,No,,AUD,,,,,,No,,Pallet,,,,,,,,No,,,,,,,,,4422356,,,,,
